epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
157,77667.2,0.98072,0.49941,1.32665,0.77673,0.77819,0.82611,0.62351,0.99589,0.48148,1.42733,0.002278,0.002278,0.002278
158,78162.8,0.97848,0.50102,1.32513,0.77868,0.77853,0.82637,0.62364,0.99571,0.48113,1.42716,0.0022285,0.0022285,0.0022285
159,78657.8,0.97717,0.4989,1.32195,0.78014,0.77835,0.82665,0.62414,0.99553,0.4808,1.42694,0.002179,0.002179,0.002179
160,79152.4,0.97672,0.49807,1.32875,0.77692,0.78248,0.827,0.62451,0.99533,0.48038,1.42671,0.0021295,0.0021295,0.0021295
161,79645.5,0.97803,0.49869,1.32041,0.77633,0.78284,0.82748,0.62487,0.99509,0.48004,1.42647,0.00208,0.00208,0.00208
162,80139.2,0.97101,0.49589,1.32414,0.77548,0.78394,0.82783,0.62529,0.99489,0.47974,1.42626,0.0020305,0.0020305,0.0020305
163,80633.7,0.97335,0.49521,1.32174,0.77612,0.78319,0.82821,0.62567,0.99469,0.4795,1.42606,0.001981,0.001981,0.001981
164,81126.8,0.9778,0.49615,1.31858,0.77587,0.78337,0.8287,0.62621,0.9945,0.47919,1.42581,0.0019315,0.0019315,0.0019315
165,81621.4,0.971,0.49539,1.32147,0.77426,0.78486,0.82906,0.62673,0.99434,0.47883,1.42563,0.001882,0.001882,0.001882
166,82117,0.96819,0.49136,1.31734,0.7746,0.78334,0.82955,0.62714,0.99408,0.47858,1.42529,0.0018325,0.0018325,0.0018325
167,82610.9,0.9733,0.49318,1.31879,0.77542,0.78394,0.82986,0.62734,0.99389,0.47829,1.42508,0.001783,0.001783,0.001783
168,83103.7,0.96876,0.48778,1.31542,0.77402,0.78689,0.8298,0.62767,0.99378,0.47802,1.42493,0.0017335,0.0017335,0.0017335
169,83597.6,0.96739,0.487,1.31169,0.7686,0.79463,0.83011,0.62804,0.99356,0.47782,1.42471,0.001684,0.001684,0.001684
170,84091.6,0.96452,0.48538,1.31797,0.76788,0.7959,0.8303,0.62827,0.99339,0.47764,1.42455,0.0016345,0.0016345,0.0016345
171,84586.2,0.96769,0.48877,1.31481,0.76772,0.79554,0.83038,0.62835,0.99325,0.47739,1.42439,0.001585,0.001585,0.001585
172,85082.5,0.9672,0.48688,1.312,0.77043,0.79187,0.83047,0.62841,0.99315,0.47718,1.42427,0.0015355,0.0015355,0.0015355
173,85584.2,0.96276,0.48448,1.31343,0.77124,0.79155,0.83085,0.62884,0.99303,0.4769,1.42412,0.001486,0.001486,0.001486
174,86082.4,0.9632,0.48333,1.3123,0.7703,0.79376,0.83116,0.62912,0.99296,0.47681,1.42403,0.0014365,0.0014365,0.0014365
175,86577.6,0.96398,0.48335,1.31809,0.77093,0.79368,0.83173,0.6297,0.99285,0.47661,1.42393,0.001387,0.001387,0.001387
176,87072.6,0.96248,0.48341,1.30672,0.77579,0.78934,0.8318,0.62984,0.99277,0.4764,1.42388,0.0013375,0.0013375,0.0013375
177,87568,0.95803,0.47993,1.30847,0.77729,0.78769,0.83196,0.63001,0.99265,0.47625,1.42377,0.001288,0.001288,0.001288
178,88062.5,0.95587,0.4774,1.30619,0.78,0.78643,0.83224,0.63038,0.99259,0.47606,1.42369,0.0012385,0.0012385,0.0012385
179,88557.7,0.9593,0.47633,1.30725,0.78182,0.78549,0.83244,0.63075,0.99251,0.47583,1.42363,0.001189,0.001189,0.001189
180,89053.5,0.95795,0.47692,1.30804,0.78388,0.78412,0.83272,0.63081,0.99241,0.47567,1.42353,0.0011395,0.0011395,0.0011395
181,89548.3,0.9584,0.4767,1.31247,0.78423,0.78347,0.83295,0.63099,0.99225,0.4755,1.42336,0.00109,0.00109,0.00109
182,90041.3,0.95842,0.47683,1.30962,0.78618,0.78175,0.83317,0.63126,0.99219,0.47533,1.42331,0.0010405,0.0010405,0.0010405
