epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,622.209,1.72414,1.14049,1.52338,0.83007,0.84389,0.88534,0.49608,1.6351,0.92382,1.48256,0.0070795,0.0070795,0.0070795
61,932.658,1.72807,1.13876,1.52792,0.8306,0.84445,0.88643,0.49707,1.63355,0.92223,1.48114,0.00703,0.00703,0.00703
62,1242.97,1.71678,1.14235,1.52327,0.83287,0.84516,0.88639,0.49735,1.63258,0.92059,1.48032,0.0069805,0.0069805,0.0069805
63,1554.37,1.72287,1.13439,1.52256,0.8324,0.84748,0.88706,0.49845,1.63202,0.91901,1.48003,0.006931,0.006931,0.006931
64,1864.83,1.71193,1.13376,1.51924,0.83206,0.84739,0.88674,0.4987,1.63113,0.91746,1.47883,0.0068815,0.0068815,0.0068815
65,2176.63,1.71083,1.12068,1.51885,0.83552,0.84872,0.8872,0.49913,1.62958,0.91495,1.47752,0.006832,0.006832,0.006832
66,2486.98,1.70397,1.10887,1.50792,0.83476,0.84889,0.88786,0.49966,1.62858,0.91294,1.4766,0.0067825,0.0067825,0.0067825
67,2798.35,1.70349,1.11241,1.51031,0.8337,0.85046,0.88802,0.50015,1.62735,0.91062,1.47574,0.006733,0.006733,0.006733
68,3109.04,1.69536,1.11436,1.51045,0.83528,0.85108,0.88891,0.50039,1.62537,0.90905,1.47455,0.0066835,0.0066835,0.0066835
69,3421.26,1.69912,1.12084,1.50323,0.83599,0.85089,0.8891,0.50081,1.62452,0.90768,1.4737,0.006634,0.006634,0.006634
70,3731.97,1.69986,1.11719,1.51453,0.83609,0.85066,0.88889,0.50164,1.62275,0.90593,1.47236,0.0065845,0.0065845,0.0065845
71,4042.04,1.69617,1.10282,1.50186,0.83821,0.85146,0.88937,0.50231,1.62132,0.90464,1.47129,0.006535,0.006535,0.006535
72,4352.8,1.6901,1.09453,1.49964,0.83742,0.85249,0.88984,0.50257,1.6196,0.90344,1.46962,0.0064855,0.0064855,0.0064855
73,4664.32,1.69526,1.1017,1.50044,0.83809,0.8528,0.89004,0.50343,1.61877,0.902,1.46879,0.006436,0.006436,0.006436
74,4975.29,1.69846,1.101,1.50459,0.83715,0.85403,0.89002,0.50357,1.6182,0.90102,1.46791,0.0063865,0.0063865,0.0063865
75,5286.85,1.6885,1.09259,1.48533,0.83607,0.85392,0.89074,0.50395,1.61697,0.89954,1.46676,0.006337,0.006337,0.006337
76,5597.58,1.67652,1.08365,1.48942,0.83661,0.85425,0.89111,0.5047,1.61629,0.89818,1.46604,0.0062875,0.0062875,0.0062875
77,5908.18,1.67428,1.0822,1.48687,0.83743,0.8547,0.89123,0.505,1.61556,0.89672,1.46512,0.006238,0.006238,0.006238
78,6217.57,1.67922,1.08257,1.48761,0.8377,0.85454,0.89111,0.50566,1.61469,0.89582,1.46443,0.0061885,0.0061885,0.0061885
79,6528.72,1.66921,1.07545,1.48449,0.83661,0.85543,0.89153,0.50629,1.61403,0.89413,1.46391,0.006139,0.006139,0.006139
80,6838.16,1.6733,1.07657,1.48217,0.83852,0.85525,0.89152,0.50706,1.61323,0.89304,1.46329,0.0060895,0.0060895,0.0060895
81,7148.76,1.6706,1.0724,1.48015,0.83639,0.85679,0.89189,0.50735,1.61229,0.89183,1.46248,0.00604,0.00604,0.00604
82,7458.38,1.6728,1.07108,1.47883,0.83678,0.85699,0.89187,0.50768,1.61134,0.89073,1.46149,0.0059905,0.0059905,0.0059905
83,7767.44,1.66787,1.06301,1.47648,0.83809,0.85663,0.89247,0.50816,1.61092,0.88934,1.46093,0.005941,0.005941,0.005941
84,8076.61,1.66376,1.06812,1.46929,0.83794,0.85728,0.89312,0.5087,1.61034,0.8884,1.46024,0.0058915,0.0058915,0.0058915
85,8387.21,1.66222,1.0555,1.47005,0.8375,0.8572,0.89311,0.50906,1.6098,0.8873,1.45955,0.005842,0.005842,0.005842
86,8696.75,1.66106,1.06357,1.47516,0.83845,0.85819,0.89364,0.50966,1.60915,0.88625,1.45891,0.0057925,0.0057925,0.0057925
87,9005.9,1.65459,1.0517,1.46696,0.83844,0.85695,0.89362,0.51055,1.60831,0.88464,1.45808,0.005743,0.005743,0.005743
88,9315.29,1.65645,1.05088,1.46946,0.84048,0.8567,0.89426,0.51119,1.60767,0.88336,1.45735,0.0056935,0.0056935,0.0056935
89,9626.28,1.65336,1.04193,1.4617,0.84127,0.85709,0.89505,0.5118,1.60697,0.88203,1.4566,0.005644,0.005644,0.005644
90,9935.83,1.66036,1.04572,1.46105,0.84163,0.85776,0.89544,0.51206,1.60652,0.8805,1.45607,0.0055945,0.0055945,0.0055945
91,10245,1.64129,1.04369,1.46194,0.84191,0.85848,0.89611,0.51272,1.60568,0.87907,1.45528,0.005545,0.005545,0.005545
92,10554.1,1.64161,1.04141,1.46174,0.84207,0.85821,0.89613,0.51301,1.60477,0.87768,1.45455,0.0054955,0.0054955,0.0054955
93,10864.8,1.64691,1.03756,1.45703,0.84276,0.85767,0.89615,0.5132,1.60426,0.87631,1.45378,0.005446,0.005446,0.005446
94,11173.9,1.63615,1.03286,1.4526,0.84227,0.85891,0.89605,0.51383,1.60343,0.87495,1.45298,0.0053965,0.0053965,0.0053965
95,11483.9,1.63861,1.03359,1.45164,0.84242,0.85927,0.89628,0.51429,1.60291,0.87378,1.45243,0.005347,0.005347,0.005347
96,11793.5,1.62968,1.02528,1.44785,0.84315,0.85958,0.89652,0.51457,1.60212,0.87228,1.45163,0.0052975,0.0052975,0.0052975
97,12102.5,1.63897,1.02983,1.4443,0.84459,0.85831,0.8967,0.515,1.60124,0.87083,1.45074,0.005248,0.005248,0.005248
98,12411.4,1.6294,1.02333,1.44711,0.84351,0.85995,0.89689,0.51569,1.60045,0.86956,1.44992,0.0051985,0.0051985,0.0051985
99,12721.7,1.62575,1.0153,1.44608,0.84349,0.8603,0.89724,0.51621,1.59953,0.86818,1.44896,0.005149,0.005149,0.005149
100,13031.1,1.62429,1.02402,1.45273,0.84452,0.85912,0.89752,0.51657,1.59888,0.86647,1.44829,0.0050995,0.0050995,0.0050995
101,13340.1,1.62565,1.02138,1.44232,0.8449,0.8596,0.89795,0.51737,1.59802,0.86525,1.44747,0.00505,0.00505,0.00505
102,13649,1.61817,1.01052,1.43665,0.84584,0.85952,0.89841,0.51782,1.59742,0.86388,1.44685,0.0050005,0.0050005,0.0050005
103,13958.8,1.62285,1.01317,1.43257,0.84545,0.86018,0.89871,0.518,1.5968,0.86259,1.44631,0.004951,0.004951,0.004951
104,14267.7,1.60956,1.00716,1.43339,0.84556,0.86074,0.89905,0.51841,1.59648,0.86132,1.44584,0.0049015,0.0049015,0.0049015
105,14577.1,1.61484,1.00541,1.42927,0.84678,0.85997,0.89936,0.51866,1.59623,0.85985,1.44537,0.004852,0.004852,0.004852
106,14886,1.61829,1.00764,1.43189,0.84589,0.86073,0.89956,0.51916,1.59539,0.85834,1.44454,0.0048025,0.0048025,0.0048025
107,15195.2,1.61078,1.0053,1.43318,0.84646,0.86146,0.89979,0.5194,1.59449,0.85718,1.44368,0.004753,0.004753,0.004753
108,15504.1,1.60851,0.99503,1.42604,0.84621,0.86234,0.89988,0.51991,1.59419,0.85561,1.44311,0.0047035,0.0047035,0.0047035
109,15813.3,1.61071,1.0002,1.4273,0.84606,0.86319,0.90004,0.52031,1.59362,0.85423,1.44257,0.004654,0.004654,0.004654
110,16123,1.59491,0.99456,1.42075,0.8469,0.8633,0.90075,0.52082,1.5931,0.85254,1.44178,0.0046045,0.0046045,0.0046045
111,16432.4,1.60918,0.99359,1.42454,0.84713,0.86352,0.90111,0.52117,1.59241,0.85116,1.44084,0.004555,0.004555,0.004555
112,16741.6,1.59987,0.98569,1.42119,0.84763,0.8645,0.90163,0.52149,1.59176,0.84962,1.44003,0.0045055,0.0045055,0.0045055
113,17050.6,1.59808,0.98436,1.42179,0.84835,0.86419,0.90175,0.52192,1.59108,0.84801,1.43919,0.004456,0.004456,0.004456
114,17361,1.60353,0.99071,1.41763,0.84839,0.86462,0.90178,0.52227,1.59023,0.84669,1.4384,0.0044065,0.0044065,0.0044065
115,17670.3,1.60151,0.98566,1.41251,0.84984,0.86443,0.90266,0.52274,1.58934,0.84532,1.43747,0.004357,0.004357,0.004357
116,17979.4,1.60076,0.97863,1.41323,0.84986,0.86412,0.90294,0.52311,1.58846,0.84397,1.43653,0.0043075,0.0043075,0.0043075
117,18288.6,1.59443,0.98371,1.4172,0.85005,0.86441,0.90321,0.52348,1.58767,0.84228,1.43572,0.004258,0.004258,0.004258
118,18598.6,1.59065,0.97359,1.41151,0.84932,0.86517,0.90376,0.52402,1.58684,0.84074,1.4349,0.0042085,0.0042085,0.0042085
119,18908.2,1.58551,0.96925,1.41579,0.85069,0.86545,0.90427,0.52486,1.586,0.83898,1.43411,0.004159,0.004159,0.004159
120,19217.3,1.58346,0.97429,1.41179,0.85213,0.86579,0.90474,0.52569,1.58519,0.83766,1.43316,0.0041095,0.0041095,0.0041095
121,19526.3,1.58123,0.96873,1.40738,0.8525,0.86673,0.90532,0.52619,1.58441,0.83593,1.4324,0.00406,0.00406,0.00406
122,19835.7,1.58123,0.97162,1.40659,0.85325,0.86603,0.90563,0.52668,1.58367,0.83435,1.43155,0.0040105,0.0040105,0.0040105
123,20144.8,1.58456,0.9667,1.40357,0.85401,0.86683,0.90601,0.52736,1.58288,0.83269,1.43078,0.003961,0.003961,0.003961
124,20453.9,1.57144,0.96458,1.40672,0.85486,0.86706,0.90614,0.52792,1.58218,0.83126,1.43001,0.0039115,0.0039115,0.0039115
125,20763.1,1.57605,0.95945,1.40619,0.85491,0.86682,0.90626,0.52859,1.58138,0.82962,1.42918,0.003862,0.003862,0.003862
126,21072.1,1.56689,0.95252,1.39645,0.85569,0.86656,0.90665,0.52899,1.58078,0.82806,1.42843,0.0038125,0.0038125,0.0038125
127,21382.7,1.56531,0.94835,1.39793,0.85653,0.86691,0.90689,0.52965,1.58017,0.82639,1.42767,0.003763,0.003763,0.003763
128,21691.9,1.57466,0.963,1.39694,0.85754,0.86671,0.90718,0.53008,1.57927,0.82478,1.42674,0.0037135,0.0037135,0.0037135
129,22001.7,1.56833,0.95789,1.39739,0.85873,0.86704,0.90759,0.53057,1.5785,0.82334,1.4259,0.003664,0.003664,0.003664
130,22310.5,1.56323,0.94618,1.39476,0.85878,0.86683,0.90788,0.53095,1.57785,0.82202,1.42522,0.0036145,0.0036145,0.0036145
131,22619.1,1.56333,0.94631,1.39589,0.86004,0.86771,0.90825,0.53163,1.5771,0.82035,1.42434,0.003565,0.003565,0.003565
132,22927.7,1.55275,0.9472,1.38564,0.86105,0.86815,0.9085,0.53238,1.57651,0.81876,1.42362,0.0035155,0.0035155,0.0035155
133,23237.6,1.56105,0.94893,1.3879,0.86206,0.868,0.90851,0.53283,1.57552,0.81741,1.42257,0.003466,0.003466,0.003466
134,23546.4,1.55673,0.93476,1.38441,0.86177,0.86796,0.90917,0.53344,1.57457,0.81596,1.42158,0.0034165,0.0034165,0.0034165
135,23856.5,1.55218,0.93643,1.38455,0.86248,0.86763,0.90907,0.534,1.57379,0.81447,1.42056,0.003367,0.003367,0.003367
136,24165.2,1.55227,0.93102,1.38438,0.86292,0.86729,0.90893,0.53415,1.57307,0.8132,1.41965,0.0033175,0.0033175,0.0033175
137,24473.8,1.54835,0.94224,1.38162,0.86352,0.86725,0.90903,0.5345,1.57204,0.81201,1.41864,0.003268,0.003268,0.003268
138,24782.3,1.53903,0.92624,1.38457,0.8631,0.86763,0.9093,0.53518,1.57119,0.81069,1.41778,0.0032185,0.0032185,0.0032185
139,25092.5,1.54223,0.92622,1.37601,0.86382,0.86796,0.90948,0.53523,1.57049,0.80924,1.41703,0.003169,0.003169,0.003169
140,25401,1.54275,0.93068,1.37885,0.8638,0.86791,0.90971,0.53614,1.56967,0.80793,1.41625,0.0031195,0.0031195,0.0031195
141,25709.5,1.53969,0.92544,1.3695,0.86387,0.86744,0.90976,0.53668,1.56874,0.80668,1.4152,0.00307,0.00307,0.00307
142,26017.8,1.5366,0.92603,1.36812,0.86453,0.86727,0.91033,0.53699,1.56798,0.80544,1.41425,0.0030205,0.0030205,0.0030205
143,26326.4,1.52722,0.92372,1.36717,0.86496,0.86747,0.91031,0.53742,1.56732,0.80411,1.41341,0.002971,0.002971,0.002971
144,26634.8,1.5362,0.92596,1.36303,0.86572,0.86769,0.91055,0.53801,1.5666,0.8027,1.41263,0.0029215,0.0029215,0.0029215
145,26943.3,1.53596,0.9202,1.36733,0.86611,0.86793,0.91042,0.53853,1.56584,0.8014,1.41189,0.002872,0.002872,0.002872
146,27252.3,1.52359,0.91374,1.36786,0.86635,0.86838,0.91085,0.53899,1.56501,0.80007,1.41112,0.0028225,0.0028225,0.0028225
147,27560.9,1.52905,0.91204,1.37025,0.86551,0.86842,0.91092,0.53935,1.56434,0.79868,1.41032,0.002773,0.002773,0.002773
148,27870.5,1.52762,0.909,1.35834,0.86564,0.86876,0.91106,0.53974,1.56356,0.79721,1.40935,0.0027235,0.0027235,0.0027235
